,risk_free_rate
2021-02-01,4.25
2021-02-02,4.24
2021-02-03,4.16
2021-02-04,4.19
2021-02-05,4.16
2021-02-06,4.16
2021-02-07,4.16
2021-02-08,4.21
2021-02-09,4.29
2021-02-10,4.3
2021-02-11,4.39
2021-02-12,4.45
2021-02-13,4.45
2021-02-14,4.45
2021-02-15,4.51
2021-02-16,4.5
2021-02-17,4.62
2021-02-18,4.57
2021-02-19,4.58
2021-02-20,4.56
2021-02-21,4.56
2021-02-22,4.51
2021-02-23,4.51
2021-02-24,4.6
2021-02-25,4.59
2021-02-26,4.58
2021-02-27,4.58
2021-02-28,4.58
2021-03-01,4.56
2021-03-02,4.64
2021-03-03,4.64
2021-03-04,4.64
2021-03-05,4.66
2021-03-06,4.66
2021-03-07,4.66
2021-03-08,4.66
2021-03-09,4.63
2021-03-10,4.65
2021-03-11,4.76
2021-03-12,4.74
2021-03-13,4.74
2021-03-14,4.74
2021-03-15,4.87
2021-03-16,4.85
2021-03-17,4.83
2021-03-18,4.95
2021-03-19,4.96
2021-03-20,4.96
2021-03-21,4.96
2021-03-22,5.05
2021-03-23,5.11
2021-03-24,5.03
2021-03-25,4.94
2021-03-26,4.79
2021-03-27,4.79
2021-03-28,4.79
2021-03-29,4.74
2021-03-30,4.76
2021-03-31,4.77
2021-04-01,4.75
2021-04-02,4.8
2021-04-03,4.8
2021-04-04,4.8
2021-04-05,4.83
2021-04-06,4.78
2021-04-07,4.8
2021-04-08,4.79
2021-04-09,4.75
2021-04-10,4.75
2021-04-11,4.75
2021-04-12,4.82
2021-04-13,4.82
2021-04-14,4.8
2021-04-15,4.93
2021-04-16,4.85
2021-04-17,4.85
2021-04-18,4.85
2021-04-19,4.87
2021-04-20,4.93
2021-04-21,4.95
2021-04-22,5.08
2021-04-23,5.2
2021-04-24,5.2
2021-04-25,5.2
2021-04-26,5.2
2021-04-27,5.16
2021-04-28,5.12
2021-04-29,5.06
2021-04-30,5.01
2021-05-01,5.01
2021-05-02,5.01
2021-05-03,5.01
2021-05-04,5.04
2021-05-05,5.02
2021-05-06,5.07
2021-05-07,5.09
2021-05-08,5.09
2021-05-09,5.09
2021-05-10,5.02
2021-05-11,5.15
2021-05-12,5.26
2021-05-13,5.23
2021-05-14,5.21
2021-05-15,5.21
2021-05-16,5.21
2021-05-17,5.24
2021-05-18,5.23
2021-05-19,5.22
2021-05-20,5.21
2021-05-21,5.23
2021-05-22,5.23
2021-05-23,5.23
2021-05-24,5.22
2021-05-25,5.27
2021-05-26,5.3
2021-05-27,5.45
2021-05-28,5.5
2021-05-29,5.5
2021-05-30,5.5
2021-05-31,5.52
2021-06-01,5.67
2021-06-02,5.64
2021-06-03,5.67
2021-06-04,5.75
2021-06-05,5.75
2021-06-06,5.75
2021-06-07,5.73
2021-06-08,5.73
2021-06-09,5.77
2021-06-10,5.76
2021-06-11,5.81
2021-06-12,5.81
2021-06-13,5.81
2021-06-14,5.82
2021-06-15,5.93
2021-06-16,5.83
2021-06-17,5.82
2021-06-18,5.77
2021-06-19,5.77
2021-06-20,5.77
2021-06-21,5.77
2021-06-22,5.75
2021-06-23,5.75
2021-06-24,5.73
2021-06-25,5.73
2021-06-26,5.73
2021-06-27,5.73
2021-06-28,5.78
2021-06-29,5.78
2021-06-30,5.77
2021-07-01,5.71
2021-07-02,5.78
2021-07-03,5.78
2021-07-04,5.78
2021-07-05,5.87
2021-07-06,5.83
2021-07-07,5.86
2021-07-08,5.91
2021-07-09,5.93
2021-07-10,5.93
2021-07-11,5.93
2021-07-12,6.09
2021-07-13,6.06
2021-07-14,6.09
2021-07-15,6.14
2021-07-16,6.18
2021-07-17,6.18
2021-07-18,6.18
2021-07-19,6.17
2021-07-20,6.23
2021-07-21,6.25
2021-07-22,6.21
2021-07-23,6.35
2021-07-24,6.35
2021-07-25,6.35
2021-07-26,6.35
2021-07-27,6.46
2021-07-28,6.39
2021-07-29,6.43
2021-07-30,6.49
2021-07-31,6.49
2021-08-01,6.49
2021-08-02,6.48
2021-08-03,6.47
2021-08-04,6.5
2021-08-05,6.49
2021-08-06,6.49
2021-08-07,6.49
2021-08-08,6.49
2021-08-09,6.5
2021-08-10,6.5
2021-08-11,6.51
2021-08-12,6.49
2021-08-13,6.48
2021-08-14,6.48
2021-08-15,6.48
2021-08-16,6.54
2021-08-17,6.55
2021-08-18,6.49
2021-08-19,6.45
2021-08-20,6.45
2021-08-21,6.45
2021-08-22,6.45
2021-08-23,6.42
2021-08-24,6.43
2021-08-25,6.39
2021-08-26,6.45
2021-08-27,6.44
2021-08-28,6.44
2021-08-29,6.44
2021-08-30,6.4
2021-08-31,6.44
2021-09-01,6.44
2021-09-02,6.44
2021-09-03,6.44
2021-09-04,6.44
2021-09-05,6.44
2021-09-06,6.44
2021-09-07,6.44
2021-09-08,6.44
2021-09-09,6.44
2021-09-10,6.44
2021-09-11,6.44
2021-09-12,6.44
2021-09-13,6.44
2021-09-14,6.44
2021-09-15,6.44
2021-09-16,6.44
2021-09-17,6.44
2021-09-18,6.44
2021-09-19,6.44
2021-09-20,6.44
2021-09-21,6.44
2021-09-22,6.44
2021-09-23,6.44
2021-09-24,6.44
2021-09-25,6.44
2021-09-26,6.44
2021-09-27,6.44
2021-09-28,6.44
2021-09-29,6.44
2021-09-30,7.12
2021-10-01,7.12
2021-10-02,7.12
2021-10-03,7.12
2021-10-04,7.12
2021-10-05,7.12
2021-10-06,7.12
2021-10-07,7.12
2021-10-08,7.12
2021-10-09,7.12
2021-10-10,7.12
2021-10-11,7.12
2021-10-12,7.12
2021-10-13,7.12
2021-10-14,7.12
2021-10-15,7.12
2021-10-16,7.12
2021-10-17,7.12
2021-10-18,7.12
2021-10-19,7.12
2021-10-20,7.12
2021-10-21,7.12
2021-10-22,7.12
2021-10-23,7.12
2021-10-24,7.12
2021-10-25,7.12
2021-10-26,7.12
2021-10-27,7.12
2021-10-28,7.12
